Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,55,"81,145",Kyle Walker,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,06/08/2023,16:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,1,8,4,50,0.13,0.25,,,0,0,,,,,,Match Report
11/08/2023,20:00,Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65,"21,572",Kevin De Bruyne,4-2-3-1,5-4-1,Craig Pawson,Match Report,,11/08/2023,20:00,Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,1.1,1.1,Match Report
16/08/2023,22:00 (20:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,,,74,,Kyle Walker,4-2-3-1,4-2-3-1,François Letexier,Match Report,,16/08/2023,22:00 (20:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,1,23,7,30.4,0.04,0.14,,,0,0,,,,,,Match Report
19/08/2023,20:00,Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,0.3,59,"53,419",Kyle Walker,4-2-3-1,4-3-3,Robert Jones,Match Report,,19/08/2023,20:00,Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1,1,0.07,0,0,Match Report
27/08/2023,14:00,Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79,"31,336",Kyle Walker,4-2-3-1,3-5-2,Jarred Gillett,Match Report,,27/08/2023,14:00,Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,2,29,9,31,0.07,0.22,17.3,2,0,1,3.5,2.8,0.1,-1.5,-0.8,Match Report
02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68,"52,899",Kyle Walker,4-2-3-1,4-3-3,Michael Oliver,Match Report,,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,5,6,4,66.7,0.67,1,14.8,0,1,1,2.2,1.4,0.25,2.8,2.6,Match Report
16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68,"62,475",Kyle Walker,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3,29,13,44.8,0.1,0.23,16.4,1,0,0,3.6,3.6,0.13,-0.6,-0.6,Match Report
19/09/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,4.1,0.8,76,"50,204",Kyle Walker,4-2-3-1,5-3-2,João Pinheiro,Match Report,,19/09/2023,20:00,Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,3,37,16,43.2,0.08,0.19,15.2,1,0,0,4.1,4.1,0.11,-1.1,-1.1,Match Report
23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1,57,"53,413",Kyle Walker,4-2-3-1,5-4-1,Anthony Taylor,Match Report,,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,2,7,4,57.1,0.29,0.5,17.2,2,0,0,1.3,1.3,0.19,0.7,0.7,Match Report
27/09/2023,20:00,EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,,,67,"51,692",Nathan Aké,3-2-4-1,4-3-3,Chris Kavanagh,Match Report,,27/09/2023,20:00,EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,0,10,2,20,0,0,,,0,0,,,,,,Match Report
